Registration Group,Support Item ID,Support Item,Variant Description,Variant ID,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
"Assist-Life Stage, Transition",450,Support coordination assistance,coordination of supports,07_002_0106_8_3,"Further qualifications/experience required to strengthen a higher needs participant's ability to coordinate their supports & participate in the community. This may include resolving points of crisis, & developing resilience in the participant's network.",Hour,N,"92,27",Y,Coordination of Supports,7
"Assist-Life Stage, Transition",460,Accommodation planning assistance,assistance with accommodation and tenancy obligations,08_005_0106_2_3,"Support is provided to guide, prompt, or undertake activities to ensure the participant obtains/retains appropriate accommodation. May include assisting to apply for a rental tenancy or to undertake tenancy obligations.",Hour,N,"56,61",Y,Improved living arrangements,8
"Assist-Life Stage, Transition",470,Life transition planning and mentoring,"Life transition planning incl mentoring, peer support and indiv skill devt.",09_006_0106_6_3,"Establishing volunteer assistance within the participant's home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.",Hour,N,"56,61",Y,Increased social and community participation,9
"Assist-Life Stage, Transition",480,Support planning assistance,"assistance with decision making, daily planning, budgeting",15_035_0106_1_3,"Provision of time limited support to assist a person to develop and maintain daily budget, including assisting in planning purchases.",Hour,N,"42,79",Y,Improved daily living skills,15
Assist-Travel/Transport,490,Specialised transport,specialised transport to school/educational facility/employment/community,02_050_0108_1_1,Transport required to get a person with disability to school/educational facility/employment/community when they are unable to travel by other means due to their disability,Day,Y,,N,Transport (auto payments),2
Assist-Travel/Transport,490,Specialised transport,transport,02_051_0108_1_1,transport,Annual,Y,,N,Transport (auto payments),2
Assist-Travel/Transport,500,Adapted vehicle rental,rental of adapted vehicle,05_353_0108_1_2,rental of adapted vehicle,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,510,Prostheses,adaptions for arm and hand prosthetics for sport and leisure,05_061826297_0112_1_2,terminal device to enable participation in sport,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,520,Cycles,hand-propelled bicycles,05_121805101_0112_1_2,hand-propelled bicycles,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,520,Cycles,specialist tricycles or quadricycle - foot propelled,05_121806409_0112_1_2,specialist tricycles or quadricycle - foot propelled,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,520,Cycles,specialist tricycles or quadricycle - hand propelled,05_121809102_0112_1_2,specialist tricycles or quadricycle - hand propelled,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,520,Cycles,disability specific cycle adaptions,05_121821103_0112_1_2,disability specific cycle adaptions,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,530,"Wheelchair, specialised recreational",wheelchair - track racing,05_122203291_0112_1_2,wheelchair - track racing,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,530,"Wheelchair, specialised recreational",wheelchair - beach/sand capable - push,05_122218293_0112_1_2,wheelchair - beach/sand capable - push,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,540,Adapted books,adapted books,05_223088289_0112_1_2,books adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,550,"Toys, specialised",switch adapted toys,05_300303288_0112_1_2,Toys adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,550,"Toys, specialised",other toy adaptions,05_300303290_0112_1_2,other toy adaptions,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,550,"Toys, specialised",adapted mobility toy,05_300303302_0112_1_2,adapted mobility toy,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,550,"Toys, specialised",assistive products for audio visual gaming,05_300309296_0112_1_2,Interfaces that allow a person with disability to access recreational gaming equipment when unable to do so through conventional routes,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,530,"Wheelchair, specialised recreational",sport adaptions to wheelchair (power or manual),05_300900292_0112_1_2,sport adaptions to wheelchair (power or manual),Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,530,"Wheelchair, specialised recreational",basketball wheelchair,05_300903294_0112_1_2,basketball wheelchair,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,530,"Wheelchair, specialised recreational",rugby wheelchair,05_300903295_0112_1_2,rugby wheelchair,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,specialised bowling equipment,05_300912300_0112_1_2,specialised bowling equipment,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,adapted recreation equipment - other,05_308800285_0112_1_2,"Products such as card holders, camera holders and adaptions to enable a person with disability to participate in recreational activity",Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,specialised recreation equipment repairs,05_503000316_0112_1_2,specialised recreation equipment repairs,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,"recreation equipment delivery, set up/ training",05_703000332_0112_1_2,"Equipment delivery, removal from wrapping, set up adjustment and training for the participant's disability specific needs.",Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,recreation equipment delivery to a participant,05_713000342_0112_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation,560,Specialised recreation equipment,recreation equipment rental,05_803000349_0112_1_2,recreation equipment rental,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,one or more assistive devices to assist with dishwashing,05_150600320_0123_1_2,"Adapted dish cloths, utensils, detergent dispensers etc.",Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,other assistive equipment for household tasks,05_158800321_0123_1_2,Equipment specially selected due to the persons disability that enables them to perform household tasks like cleaning or maintenance,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,other alarms and door bells,05_222704219_0123_1_2,"Amplified, visual alert and/or vibratory alarms",Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,adapted clocks,05_222712259_0123_1_2,adapted clocks,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,programmable memory aids,05_222716260_0123_1_2,programmable memory aids,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,580,Environmental control system,environmental control systems,05_241303281_0123_1_2,environmental control systems,Each,Y,,N,Assistive technology,5
Assistive Prod-Household Task,570,Household automation tools,ECU controlled wireless mains socket,05_241303282_0123_1_2,ECU controlled wireless mains socket,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,580,Environmental control system,environmental control software,05_241306283_0123_1_2,environmental control software,Each,Y,,N,Assistive technology,5
Assistive Prod-Household Task,590,Household automation equipment delivery & setup,"ECU equipment delivery, set up/ training",05_702413331_0123_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant disability specific needs and/ or training.",Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,590,Household automation equipment delivery & setup,ECU equipment delivery to a participant,05_712413341_0123_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task,580,Environmental control system,ECU rental,05_802413323_0123_1_2,ECU rental,Each,N,,N,Assistive technology,5
Behaviour Support,600,Specialist behavioural intervention support,Specialist behavioural intervention support,11_022_0110_7_3,"Highly specialised intensive support interventions to address significantly harmful or persistent behaviours of concern. Development of behaviour support plans that temporarily use restrictive practices, with  intention to minimise use of these practices.",Hour,N,"192,71",Y,Improved relationships,11
Behaviour Support,600,Specialist behavioural intervention support,"behaviour management plan, training in behaviour management strategies",11_023_0110_7_3,Training for carers and others in behaviour management strategies required due the persons disability.,Hour,N,"175,57",Y,Improved relationships,11
Comms & Info Equipment,610,Voice amplifiers,voice generators,05_220903233_0124_1_2,Device held to neck which picks up vibrations and amplifies as speech.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,610,Voice amplifiers,voice amplifiers for personal use,05_220906234_0124_1_2,Device to amplify voice.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,620,Tablets and software,word processing software,05_221224237_0124_1_2,word processing software,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,610,Voice amplifiers,microphones,05_221833248_0124_1_2,microphones,Each,N,,N,Assistive technology,5
Comms & Info Equipment,630,Communication aid,face-to-face communication assistive products,05_222100249_0124_1_2,"Communication boards accessed by pointing, eye gaze or other selection methods.",Each,N,,N,Assistive technology,5
Comms & Info Equipment,620,Tablets and software,communication software for computer or tablet,05_222102250_0124_1_2,Software to convert a tablet or computer device to a communication device.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,620,Tablets and software,customised commercial tablet,05_222102251_0124_1_2,customised commercial tablet,Each,N,,N,Assistive technology,5
Comms & Info Equipment,640,Keyboard and mouse input devices,letter and symbol sets and boards,05_222103252_0124_1_2,Books or boards with letter symbols or pictures that assist with communication.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,610,Voice amplifiers,communication amplifiers,05_222106253_0124_1_2,device to amplify voice,Each,N,,N,Assistive technology,5
Comms & Info Equipment,650,Speech output devices,static-single button device which provides audible message output,05_222109254_0124_1_2,static-single button device which provides audible message output,Each,N,,N,Assistive technology,5
Comms & Info Equipment,650,Speech output devices,dynamic display dialogue units,05_222109255_0124_1_2,communication device with customisable and changing screens which allows a highly customised voice output generation,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,650,Speech output devices,text to speech device,05_222109256_0124_1_2,Keyed input converting text to speech.,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,660,Telephone input accessories,accessories for telephoning,05_222421257_0124_1_2,e.g. multipurpose big button switch,Each,N,,N,Assistive technology,5
Comms & Info Equipment,650,Speech output devices,personal reader- speech output,05_223003279_0124_1_2,personal reader- speech output,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,650,Speech output devices,personal reader- speech and visual output,05_223030280_0124_1_2,personal reader- speech and visual output,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,640,Keyboard and mouse input devices,keyboards/ key guards,05_223603267_0124_1_2,guards that assist a person in activating the right part of a screen or keyboard,Each,N,,N,Assistive technology,5
Comms & Info Equipment,640,Keyboard and mouse input devices,simple switches,05_223612268_0124_1_2,"Including single input switches, pressure, touch, and puff.",Each,N,,N,Assistive technology,5
Comms & Info Equipment,640,Keyboard and mouse input devices,switch adapted mouse,05_223612269_0124_1_2,Computer mouse adapted for switch access.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,670,Specialised input devices,input software i.e. voice activated software,05_223618270_0124_1_2,Software that allows non-manual or alternate access to a computer.,Each,N,,N,Assistive technology,5
Comms & Info Equipment,670,Specialised input devices,head pointer,05_223621271_0124_1_2,assistive products to position screen pointer and to select items on computer display,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,670,Specialised input devices,eye gaze system,05_223621272_0124_1_2,Hardware and software that directs or selects inputs by gaze to activate a computer or communication device.,Each,Y,,N,Assistive technology,5
Comms & Info Equipment,680,Audible player,static audible player display,05_223907277_0124_1_2,static audible player display,Each,N,,N,Assistive technology,5
Comms & Info Equipment,680,Audible player,portable audible player for computer,05_223907278_0124_1_2,portable audible player for computer,Each,N,,N,Assistive technology,5
Comms & Info Equipment,690,Communication device mounting,fixed position systems - mounting for communication device,05_242403284_0124_1_2,adjustable method of attaching communication device to wheelchair or furniture,Each,N,,N,Assistive technology,5
Comms & Info Equipment,700,Communication device repairs,communication equipment repairs,05_502200312_0124_1_2,communication equipment repairs,Each,N,,N,Assistive technology,5
Community Nursing Care,710,Individual nursing support,individual assessment and support by a Nurse,15_036_0114_1_3,"Provision of care, training and supervision of a delegated worker to respond to the complex care needs of a participant where that care is not the usual responsibility of the Health System.",Hour,N,"93,95",Y,Improved daily living skills,15
Custom Prosthetics,720,Spine and body orthoses,body orthotic - dynamic/lycra,05_060318012_0135_1_2,body orthotic - dynamic/lycra,Each,Y,,N,Assistive technology,5
Custom Prosthetics,730,Hand and arm orthoses,hand splints,05_060606010_0135_1_2,hand splints provided as part of a shorter term therapy program,Each,N,,N,Assistive technology,5
Custom Prosthetics,730,Hand and arm orthoses,"upper limb orthotic - dynamic, lycra",05_060688011_0135_1_2,Lycra or other splints designed to improve functioning.,Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,custom foot supports,05_061203014_0135_1_2,Foot supports or restraints for a wheelchair where conventional supports do not suffice.,Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,foot orthoses,05_061203015_0135_1_2,foot orthoses,Each,N,,N,Assistive technology,5
Custom Prosthetics,750,Orthopedic shoes,Orthopaedic shoes - other custom made,05_061203041_0135_1_2,Pair of shoes made for a participant who is unable to fit off the shelf or specialist shoes.,Each,Y,,N,Assistive technology,5
Custom Prosthetics,750,Orthopedic shoes,Orthopaedic shoes - to compensate for muscle weakness/activity,05_061203042_0135_1_2,Pair of shoes with extra depth or width that are commercially available,Each,N,,N,Assistive technology,5
Custom Prosthetics,750,Orthopedic shoes,Orthopaedic shoes to add to the length of the leg and foot i.e. shoe raise,05_061203043_0135_1_2,adjustments to regular shoes required due to disability,Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,ankle-foot orthoses prefabricated- average price,05_061206016_0135_1_2,ankle-foot orthoses prefabricated- average price,Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,ankle-foot orthoses prefabricated sizes 1-4,05_061206017_0135_1_2,ankle-foot orthoses prefabricated sizes 1-4,Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,"ankle-foot orthoses prefabricated reg, large, xlge",05_061206018_0135_1_2,"ankle-foot orthoses prefabricated reg, large, xlge",Each,N,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,ankle-foot orthoses ankle joint,05_061206019_0135_1_2,ankle-foot orthoses ankle joint,Each,Y,,N,Assistive technology,5
Custom Prosthetics,740,Ankle and foot orthoses,ankle-foot orthoses (AFO) static custom made,05_061206020_0135_1_2,ankle-foot orthoses (AFO) static custom made,Each,N,,N,Assistive technology,5
Custom Prosthetics,760,Knee and leg orthoses,knee orthoses,05_061209021_0135_1_2,knee orthoses,Each,N,,N,Assistive technology,5
Custom Prosthetics,760,Knee and leg orthoses,knee-ankle-foot orthoses,05_061212022_0135_1_2,knee-ankle-foot orthoses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,760,Knee and leg orthoses,leg orthoses,05_061213023_0135_1_2,leg orthoses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,770,Hip and thigh orthoses,hip orthoses,05_061215024_0135_1_2,hip orthoses,Each,N,,N,Assistive technology,5
Custom Prosthetics,770,Hip and thigh orthoses,hip-knee orthoses,05_061216025_0135_1_2,hip-knee orthoses,Each,N,,N,Assistive technology,5
Custom Prosthetics,770,Hip and thigh orthoses,thigh orthoses,05_061217026_0135_1_2,thigh orthoses,Each,N,,N,Assistive technology,5
Custom Prosthetics,760,Knee and leg orthoses,lower limb orthotic - dynamic/lycra,05_061218013_0135_1_2,lower limb orthotic - dynamic/lycra,Each,Y,,N,Assistive technology,5
Custom Prosthetics,760,Knee and leg orthoses,hip-knee-ankle-foot orthoses,05_061218027_0135_1_2,hip-knee-ankle-foot orthoses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,720,Spine and body orthoses,thoracolumbar/lumbo-sacral - hip - knee - ankle - foot orthoses,05_061219028_0135_1_2,thoracolumbar/lumbo-sacral - hip - knee - ankle - foot orthoses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,780,Hand and arm prostheses,partial hand prostheses,05_061803029_0135_1_2,partial hand prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,780,Hand and arm prostheses,wrist disarticulation prostheses,05_061806030_0135_1_2,wrist disarticulation prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,780,Hand and arm prostheses,trans-radial prostheses,05_061809031_0135_1_2,trans-radial prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,trans-humeral prostheses,05_061815032_0135_1_2,trans-humeral prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,forequarter amputation prostheses,05_061821033_0135_1_2,forequarter amputation prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,partial foot prostheses,05_062403035_0135_1_2,partial foot prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,ankle disarticulation prostheses,05_062406036_0135_1_2,ankle disarticulation prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,trans-tibial prostheses,05_062409037_0135_1_2,trans-tibial prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,trans-femoral prostheses,05_062415038_0135_1_2,trans-femoral prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,800,Hip and pelvic prostheses,hip disarticulation prostheses,05_062418039_0135_1_2,hip disarticulation prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,800,Hip and pelvic prostheses,trans-pelvic prostheses,05_062421040_0135_1_2,trans-pelvic prostheses,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,lower limb prostheses - other,05_062488034_0135_1_2,lower limb prostheses - other,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,specialist prosthetic lower limb for sports,05_062488298_0135_1_2,specialist prosthetic lower limb for sports,Each,Y,,N,Assistive technology,5
Custom Prosthetics,790,Foot and leg prostheses,prosthetic lower limb suitable for wet environments,05_062488299_0135_1_2,prosthetic lower limb suitable for wet environments,Each,Y,,N,Assistive technology,5
Custom Prosthetics,810,Prostheses repair,minor prosthetic repair - average price,05_500624304_0135_1_2,minor prosthetic repair - average price,Each,N,,N,Assistive technology,5
Custom Prosthetics,810,Prostheses repair,major prosthetic repair - average price,05_500624305_0135_1_2,major prosthetic repair - average price,Each,Y,,N,Assistive technology,5
Custom Prosthetics,820,Custom wearable prostheses,Selection and/or manufacture of customised or wearable technology,15_047_0135_1_3,Selection and/or manufacture of customised or wearable technology.,Hour,N,"158,45",Y,Improved daily living skills,15
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in living arrangements (host family/alternative family situation),01_026_0115_1_1,Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.,Day,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement (hourly rate per person ),01_027_0115_1_1,"Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.",Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 2 persons - complex needs,01_028_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"4,807.14",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 3 persons - complex needs,01_029_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant",Week,Y,"4,163.10",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 4 persons - complex needs,01_030_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"3,305.12",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 5 persons - complex needs,01_031_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,905.56",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 6 persons - complex needs,01_032_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,605.61",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 7 persons or more - complex needs,01_033_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,605.61",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 2 persons - standard,01_034_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"3,712.61",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 3 persons - standard,01_035_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"3,065.16",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 4 persons - standard,01_036_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,374.71",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 5 persons - standard,01_037_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,273.97",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 6 persons - standard,01_038_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,203.78",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 7 persons or more - standard,01_039_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,203.78",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 3 persons - lower needs,01_040_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"1,878.94",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 4 persons - lower needs,01_041_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"1,866.49",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 5 persons - lower needs,01_042_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"1,814.43",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 6 persons - lower needs,01_043_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"1,676.33",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 7 persons or more - lower needs,01_044_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"1,676.33",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,short term accommodation and assistance,01_045_0115_1_1,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",Day,N,"480,11",Y,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in individual living arrangement for person with complex needs,01_046_0115_1_1,assistance in individual living arrangement for person with complex needs,Each,Y,,N,Assistance with daily life (includes Supported Independent Living),1
Daily Tasks/Shared Living,830,Assistance in shared living,assistance in a shared living arrangement for 2 persons - lower needs,01_047_0115_1_1,"Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible. The benchmark is based on weekly costs, per participant.",Week,Y,"2,160.78",Benchmark,Assistance with daily life (includes Supported Independent Living),1
Development-Life Skills,840,Plan management,training in planning and plan management,07_003_0117_8_3,training in planning and plan management for participants unable to do this independently but who could do all or part of the task with training.,Hour,N,"55,07",Y,Coordination of Supports,7
Development-Life Skills,850,Life skills training and development,Skills development in a group,09_007_0117_6_3,Training for the participant in a group of 2 or more to increase their independence in daily personal activities.,Hour,N,"27,54",Y,Increased social and community participation,9
Development-Life Skills,850,Life skills training and development,individual skills development and training,09_009_0117_6_3,"Individual life skills development and training including public transport training and support, developing skills for community, social and recreational participation.",Hour,N,"55,07",Y,Increased social and community participation,9
Development-Life Skills,850,Life skills training and development,individual social skills development,11_024_0117_7_3,"Social skills development with an individual, for participation in community and social activities.",Hour,N,"55,07",Y,Improved relationships,11
Development-Life Skills,850,Life skills training and development,"Indiv skills devt & training, includes public transport training & support",15_037_0117_1_3,Individual training provided in the home for general life skills to increase independence.,Hour,N,"42,79",Y,Improved daily living skills,15
Development-Life Skills,860,Training for carers/parents,training for carers/parents,15_038_0117_1_3,Training for carers in matters related to caring for a person with disability,Hour,N,"55,07",Y,Improved daily living skills,15
Early Childhood Supports,870,Early childhood intervention,specialised group early childhood interventions,15_039_0118_1_3,"Group based specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings. Maximum group of 4.",Hour,N,"58,53",Y,Improved daily living skills,15
Early Childhood Supports,870,Early childhood intervention,specialised individual therapy for early childhood,15_040_0118_1_3,"Individual specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings.",Hour,N,"175,57",Y,Improved daily living skills,15
Early Childhood Supports,870,Early childhood intervention,transdisciplinary early childhood intervention,15_041_0118_1_3,"A coordinated & integrated program where multiple professionals share responsibility in evaluating, planning & implementing supports to improve capacity of a child with disability or developmental delay & their family. Quote based on annual amount.",Each,Y,,N,Improved daily living skills,15
Ex Phys Pers Training,880,Exercise physiology,exercise physiology,12_027_0126_3_3,Individual advice to a participant regarding exercise required due to the impact of their disability,Hour,N,"142,86",Y,Improved health and wellbeing,12
Ex Phys Pers Training,880,Exercise physiology,exercise physiology in a group,12_028_0126_3_3,advice to a participant regarding exercise required due to the impact of their disability provided in group setting (3),Hour,N,"47,62",Y,Improved health and wellbeing,12
Ex Phys Pers Training,880,Exercise physiology,personal training,12_029_0126_3_3,Personal training provided to a participant required due to the impact of their disability.,Hour,N,"53,53",Y,Improved health and wellbeing,12
Group /Centre Activities,890,Community centre activities,group based activities in a centre - core,04_107_0136_6_1,social and recreational activities in a centre based program,Hour,N,"19,37",Y,Assistance with social and community participation,4
